Vendor,Rule,Inverted,Comment
google,^(rachael|racheal|rachel|rachelle|racquel|rafael|rafaela|rakeem|ramiro|ramona|ramsey|randal|randall|randell|randle|ransom|raphael|raquel|rashad|rashida|rayford|raymon|raymond|raymundo|reagan|rebeca|rebecca|rebekah|redmond|refugio|reggie|regina|reginal|reginald|reilly|reinaldo|renaldo|renata|renita|rennie|reuben|reubin|reynaldo|reynolds|rhiannon|rhonda|ricardo|richard|richelle|richie|richmond|rickey|rickie|rigoberto|rihanna|rillie|ritchie|robbie|robbin|robert|roberta|roberto|rochelle|roderick|rodger|rodney|rodolfo|rodrick|rodrigo|rogelio|rogers|roland|rolanda|rolando|rolland|romaine|romello|romona|ronald|ronnie|roosevelt|rosalee|rosalia|rosalie|rosalind|rosalinda|rosaline|rosalyn|rosanna|rosanne|rosaria|rosario|roscoe|roseann|roseanna|roseanne|rosella|roselyn|rosemarie|rosemary|rosendo|rosetta|rosina|rosita|roslyn|rowena|rowland|roxana|roxane|roxann|roxanna|roxanne|rudolf|rudolph|rueben|ruffin|rupert|russel|russell|ruthann|rutherford|ruthie)$,1,Name is not allowed
google,^(sabastian|sabina|sabrina|salina|sallie|salome|salomon|salvador|salvatore|samantha|samatha|samira|sammie|sampson|samual|samuel|sanders|sandra|sanford|sanjuana|sanjuanita|santana|santiago|santos|sarahi|sarita|saundra|savana|savannah|savion|sawyer|scarlett|scottie|sebastian|selena|selina|serena|sergio|seward|seymour|shaina|shalon|shalonda|shameka|shamika|shanda|shanell|shanika|shanna|shannan|shannon|shanon|shanta|shante|shantel|shantell|sharla|sharlene|sharon|sharonda|sharron|sharyn|shauna|shawna|shayla|shayna|shayne|sheena|sheila|sheilah|shelby|sheldon|shelia|shelley|shelli|shellie|shelly|shelvia|shenna|shepherd|sheree|sheridan|sherie|sherita|sherman|sheron|sherri|sherrie|sherrill|sherron|sherry|sherryl|sherwood|sheryl|shiela|shirlee|shirlene|shirley|shonda|sibbie|siddie|sidney|sigrid|silver|silvia|silvio|simone|simpson|socorro|soledad|solomon|sondra|sophia|sophie|spencer|stacey|stacia|stacie|stafford|stanford|stanley|stanton|starla|stefan|stefani|stefanie|stella|stephaine|stephan|stephani|stephany|stephen|stephenie|sterling|steven|stevie|steward|stewart|stuart|sullivan|summer|sumner|sunshine|susana|susanna|susanne|suzanna|suzanne|suzette|sydney|sylvester|sylvia|syreeta)$,1,Name is not allowed
google,^(tabatha|tabitha|tamala|tamara|tameka|tamela|tamera|tamika|tammie|tanesha|tangela|tanika|tanisha|taniyah|tanner|tarsha|tatiana|tawana|tawanda|tawanna|tawnya|taylor|tempie|terell|terence|teresa|terese|teressa|terrance|terrell|terrence|terrie|tessie|thaddeus|thelma|theodora|theodore|theresa|therese|theron|thomas|thomasina|thompson|thornton|thurman|thurston|tierra|tiffani|tiffanie|tiffany|tillie|tillman|timothy|tobias|tolbert|tomasa|tomeka|tommie|torrance|tracey|tracie|travis|trayvon|trenton|tressa|tressie|trevor|tricia|trinidad|trisha|trista|tristan|truman|tucker|tyreese|tyrell|tyrone)$,1,Name is not allowed
google,^(ulysses|unknown|ursula)$,1,Name is not allowed
google,^(valarie|valencia|valentin|valentina|valentine|valeria|valerie|valorie|vanesa|vanessa|vaughn|venessa|venita|vergie|vernell|vernice|vernie|vernita|vernon|verona|veronica|vessie|vicente|vickey|vickie|victor|victoria|vincent|vincenzo|vinson|violet|violeta|virgie|virgil|virginia|virgle|vivian|viviana|vonnie)$,1,Name is not allowed
google,^(walker|wallace|walter|walton|wanita|warner|warren|washington|waylon|webster|weldon|wellington|wendell|werner|wesley|weston|wheeler|whitley|whitney|wilber|wilbert|wilbur|wilburn|wilford|wilfred|wilfredo|wilhelm|wilhelmina|willam|willard|william|williams|willian|willie|willis|wilson|wilton|winford|winfred|winifred|winnie|winnifred|winona|winston|winter|woodrow|woodson|worley|wright|wynona)$,1,Name is not allowed
google,^(xavier|ximena|xiomara)$,1,Name is not allowed
google,^(yadira|yandel|yareli|yasmin|yasmine|yesenia|yolanda|yolonda|yoshiko|yvette|yvonne)$,1,Name is not allowed
google,^(zachariah|zachary|zachery|zackary|zayden)$,1,Name is not allowed
microsoft,"^[a-z]([a-z0-9\-_.]){1,63}$",0,"2-64 letters, numbers or special characters (dash, lo-dash, dot) are allowed"
microsoft,\.\.,1,More than one dot in a row is not allowed
microsoft,[.]$,1,Dot at the end is not allowed
yahoo,"^[a-z][a-z0-9_.]{2,30}[a-z0-9]$",0,"4-32 letters, numbers or special characters (lo-dash, dot) are allowed"
yahoo,[._]{2},1,More than one dot or lo-dash in a row is not allowed
yahoo,\..*\.,1,More than one dot is not allowed
